filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_LYTRAN_-_065_crop_01.png,HVDV - LYTRAN - 065_ver_01.pdf,HVDV - LYTRAN - 065,Ly-Tran,line_art,1503,1503,1,1,Lục Bình,Hoa mẫu đơn thời Lý,"Đầu ngói ống, Bảo tàng Hà Nội. Ảnh:  Nguyễn Du Chi, Hoa Văn Việt Nam Từ Thời Tiền Sử Đến Nửa Đầu Thời Kỳ Phong Kiến, Nxb Mỹ thuật, 2003, tr.254"
HVDV_-_LYTRAN_-_066_crop_01.png,HVDV - LYTRAN - 066_ver_01.pdf,HVDV - LYTRAN - 066,Ly-Tran,line_art,1669,1669,1,1,Lục Bình,Hoa mẫu đơn thời Lý- Trần,"Diềm bia chùa Bảo Ninh Sùng Phúc. Ảnh:  Nguyễn Du Chi, Hoa Văn Việt Nam Từ Thời Tiền Sử Đến Nửa Đầu Thời Kỳ Phong Kiến, Nxb Mỹ thuật, 2003, tr.254"
HVDV_-_LYTRAN_-_067_crop_01.png,HVDV - LYTRAN - 067_ver_01.pdf,HVDV - LYTRAN - 067,Ly-Tran,colored,10522,4872,1,1,Lục Bình,Gạch hoa thời Trần,"Bảo tàng Lịch sử Quốc gia, ảnh: Trương Tuấn Anh"
HVDV_-_LYTRAN_-_068_crop_01.png,HVDV - LYTRAN - 068_ver_01.pdf,HVDV - LYTRAN - 068,Ly-Tran,colored,1107,1076,1,1,Lục Bình,Thiên thần bé nhỏ thời Trần,"Chạm gỗ chùa Thái Lạc. Ảnh:  Nguyễn Du Chi, Hoa Văn Việt Nam Từ Thời Tiền Sử Đến Nửa Đầu Thời Kỳ Phong Kiến, Nxb Mỹ thuật, 2003, tr.175"
HVDV_-_LYTRAN_-_069_crop_01.png,HVDV - LYTRAN - 069_ver_02.pdf,HVDV - LYTRAN - 069,Ly-Tran,colored,1672,2135,1,1,Lục Bình,Đầu rồng thời Lý,"Trang trí mái nhà thời Lý, Bảo tàng Lịch sử Quốc gia, ảnh: Đặng Bá Minh Công"
HVDV_-_LYTRAN_-_070_crop_01.png,HVDV - LYTRAN - 070_ver_02.pdf,HVDV - LYTRAN - 070,Ly-Tran,colored,1567,2001,1,1,Lục Bình,Phượng trong lá đề thời Lý,"Trang trí mái nhà thời Lý, Bảo tàng Lịch sử Quốc gia, ảnh: Đặng Bá Minh Công"
HVDV_-_LYTRAN_-_081_crop_01.png,HVDV - LYTRAN - 081_ver_02.pdf,HVDV - LYTRAN - 081,Ly-Tran,line_art,1681,1307,1,3,Lục Bình,"Cúc, sen, bảo tướng hoa thời Lý","Tháp Chương Sơn, Nam Định, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_081_crop_02.png,HVDV - LYTRAN - 081_ver_02.pdf,HVDV - LYTRAN - 081,Ly-Tran,line_art,1681,1318,2,3,Lục Bình,"Cúc, sen, bảo tướng hoa thời Lý","Tháp Chương Sơn, Nam Định, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_081_crop_03.png,HVDV - LYTRAN - 081_ver_02.pdf,HVDV - LYTRAN - 081,Ly-Tran,line_art,1681,1305,3,3,Lục Bình,"Cúc, sen, bảo tướng hoa thời Lý","Tháp Chương Sơn, Nam Định, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_090_crop_01.png,HVDV - LYTRAN - 090_ver_01.pdf,HVDV - LYTRAN - 090,Ly-Tran,line_art,2322,1228,1,1,Trâm,Rồng trong lá đề thời Trần,"Chạm khắc chùa Bối Khê, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_091_crop_01.png,HVDV - LYTRAN - 091_ver_02.pdf,HVDV - LYTRAN - 091,Ly-Tran,colored,1952,1357,1,1,Trâm,Kalavinka trong lá đề,"Chùa Thái Lạc, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_092_crop_01.png,HVDV - LYTRAN - 092_ver_02.pdf,HVDV - LYTRAN - 092,Ly-Tran,line_art,3923,1080,1,1,Lục Bình,Hoa sen và Cửu sơn bát hải,"Trang trí tháp đất nung thời Trần, Bảo tàng LSQG, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_093_crop_01.png,HVDV - LYTRAN - 093_ver_01.pdf,HVDV - LYTRAN - 093,Ly-Tran,colored,828,863,1,1,Lục Bình,Lá đề thời Trần,"Chạm khắc gỗ chùa Bối Khê, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_PT_-_001_crop_01.png,HVDV - LYTRAN - PT - 001_ver_01.pdf,HVDV - LYTRAN - PT - 001,Ly-Tran,colored,1004,955,1,1,Lục Bình,Pattern hoa mai,Hoa văn trên tượng sư tử chùa Lạng. Ảnh: Đặng Hồng Sơn
