filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_NGN_-_AO_-_005_crop_04.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1415,1413,4,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_005_crop_05.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1416,1413,5,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_005_crop_06.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1413,1413,6,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_005_crop_07.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1415,1120,7,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_005_crop_08.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1416,1120,8,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_005_crop_09.png,HVDV - NGN - AO - 005_ver_03.pdf,HVDV - NGN - AO - 005,Nguyen,colored,1413,1120,9,9,Võ Quỳnh Trâm,"Cá và dơi, họa tiết dệt trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_006_crop_01.png,HVDV - NGN - AO - 006_ver_05.pdf,HVDV - NGN - AO - 006,Nguyen,line_art,12957,12746,1,3,Võ Quỳnh Trâm,"Con mãng, thêu ở ngực và vai","Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_006_crop_02.png,HVDV - NGN - AO - 006_ver_05.pdf,HVDV - NGN - AO - 006,Nguyen,colored,12956,12746,2,3,Võ Quỳnh Trâm,"Con mãng, thêu ở ngực và vai","Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_006_crop_03.png,HVDV - NGN - AO - 006_ver_05.pdf,HVDV - NGN - AO - 006,Nguyen,colored,9356,12746,3,3,Võ Quỳnh Trâm,"Con mãng, thêu ở ngực và vai","Triều phục Mãng bào của triều thần- Bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_007_crop_01.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,line_art,7519,4677,1,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_007_crop_02.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,line_art,7520,4677,2,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_007_crop_03.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,colored,7519,5928,3,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
