local_filename,suggested_period,period_confirmed,motif_type,keep,width,height,license,page_url,url,description,author,categories
VN_lancer.jpg,Ly-Tran,,,,1600,1200,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File%3AVN_lancer.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/VN_lancer.jpg,"Wood relief, 13th century Vietnam. HCMC Museum of National History.","<a href=""//commons.wikimedia.org/w/index.php?title=User:Ptdtch&amp;action=edit&amp;redlink=1"" class=",Art of the Trần dynasty|Military of the Trần dynasty|Self-published work|Armour in 13th-century art of Vietnam
Worshipped_picture_with_dragon_shaped_base_Bat_Trang_kiln_Hanoi_Nguyen_dynasty_19th-20th_century_white_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05430.JPG,Nguyen,,,,3648,5472,CC0,https://commons.wikimedia.org/wiki/File%3AWorshipped_picture_with_dragon_shaped_base%2C_Bat_Trang_kiln%2C_Hanoi%2C_Nguyen_dynasty%2C_19th-20th_century%2C_white_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05430.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Worshipped_picture_with_dragon_shaped_base%2C_Bat_Trang_kiln%2C_Hanoi%2C_Nguyen_dynasty%2C_19th-20th_century%2C_white_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05430.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Nguyễn dynasty ceramics in the National Museum of Vietnamese History
ĐôngTriềud.jpg,Ly-Tran,,,,960,600,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File%3A%C4%90%C3%B4ngTri%E1%BB%81ud.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/%C4%90%C3%B4ngTri%E1%BB%81ud.jpg,ĐôngTriều,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Yeudongtrieu&amp;action=edit&amp;redlink=1"" ",Art of the Trần dynasty|Đông Triều|Self-published work|Truc Lam Monastery of Yen Tu
Betel_service_Nguyen_period_NMVH_EDAV.jpg,Nguyen,,,,5000,3337,Public domain,https://commons.wikimedia.org/wiki/File%3ABetel_service_Nguyen_period_NMVH_EDAV.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Betel_service_Nguyen_period_NMVH_EDAV.jpg,,"<p><a href=""//commons.wikimedia.org/wiki/User:Jastrow"" title=""User:Jastrow"">Marie-Lan Nguyen</a>
</p",Taken with Nikon D800E|L'Envol du dragon – Art royal du Vietnam|Author died more than 100 years ago public domain images|Taken with AF-S Zoom-Nikkor 24-70mm f/2.8G ED|Artworks without Wikidata item|Se
Binh_phong_gỗ.jpg,Nguyen,,,,3078,2603,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File%3ABinh_phong_g%E1%BB%97.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Binh_phong_g%E1%BB%97.jpg,"Bình phong bằng gỗ ở thế kỷ 19 (Huế), hiện đang trưng bày trong Bảo tàng lịch sử Việt Nam tại Sài Gòn.","<a href=""//commons.wikimedia.org/wiki/User:Thuydaonguyen"" title=""User:Thuydaonguyen"">Bùi Thụy Đào Ng",Taken with Canon PowerShot A490|Sculptures|Wooden objects|Self-published work|Art of the Nguyễn dynasty|Incorrect date
Brush_holder_Imperial_court_NMVH_EDAV.jpg,Nguyen,,,,5000,3750,Public domain,https://commons.wikimedia.org/wiki/File%3ABrush_holder_Imperial_court_NMVH_EDAV.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Brush_holder_Imperial_court_NMVH_EDAV.jpg,,"<p><a href=""//commons.wikimedia.org/wiki/User:Jastrow"" title=""User:Jastrow"">Marie-Lan Nguyen</a>
</p",Taken with Nikon D800E|L'Envol du dragon – Art royal du Vietnam|Author died more than 100 years ago public domain images|Taken with AF-S Zoom-Nikkor 24-70mm f/2.8G ED|Artworks without Wikidata item|Se
Ceremonial_dress_of_Marshall_Nguyen_Tri_Phuong_taken_as_a_trophy_by_Garnier_in_the_capture_of_Hanoi_in_1873.jpg,Nguyen,,,,1312,2630,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File%3ACeremonial_dress_of_Marshall_Nguyen_Tri_Phuong_taken_as_a_trophy_by_Garnier_in_the_capture_of_Hanoi_in_1873.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Ceremonial_dress_of_Marshall_Nguyen_Tri_Phuong_taken_as_a_trophy_by_Garnier_in_the_capture_of_Hanoi_in_1873.jpg,Ceremonial dress of Marshal Nguyen Tri Phuong taken as a trophy by Garnier in the capture of Hanoi in 1873.,"<a href=""//commons.wikimedia.org/wiki/User:PHGCOM"" class=""mw-redirect"" title=""User:PHGCOM"">PHGCOM</a",GFDL|License migration redundant|Nguyễn Tri Phương|Self-published work|Art of the Nguyễn dynasty|Monarchical costumes of Vietnam
Chaise_mandarinale_Vietnam.JPG,Nguyen,,,,2736,3648,CC0,https://commons.wikimedia.org/wiki/File%3AChaise_mandarinale_Vietnam.JPG,https://upload.wikimedia.org/wikipedia/commons/5/56/Chaise_mandarinale_Vietnam.JPG,,"<a href=""//commons.wikimedia.org/wiki/User:Milky"" title=""User:Milky"">Milky</a> <span class=""mw-valig",Taken with Panasonic Lumix DMC-FX35|CC-Zero|Self-published work|Artworks with Wikidata item|Artworks with known accession number|Art of the Nguyễn dynasty|Pages with complex technique templates|Templa
Chóe_pháp_lam.jpg,Nguyen,,,,2472,3296,Public domain,https://commons.wikimedia.org/wiki/File%3ACh%C3%B3e_ph%C3%A1p_lam.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Ch%C3%B3e_ph%C3%A1p_lam.jpg,Chóe pháp lam trong Đại Nội Huế (Việt Nam),"<a href=""//commons.wikimedia.org/wiki/User:Thuydaonguyen"" title=""User:Thuydaonguyen"">Bùi Thụy Đào Ng",Taken with Fujifilm FinePix A800|PD-user|Self-published work|Art of the Nguyễn dynasty
Commissioned_embroidery_by_Vũ_Ngọc_Hoánh_Chief_of_Lạng_Sơn_Province_01.jpg,Nguyen,,,,631,1080,Public domain,https://commons.wikimedia.org/wiki/File%3ACommissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_01.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Commissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_01.jpg,"Commissioned embroidery by Vũ Ngọc Hoánh, Chief of Lạng Sơn Province","<bdi><a href=""https://www.wikidata.org/wiki/Q131287893"" class=""extiw"" title=""d:Q131287893"">Vũ Ngọc H",Embroidery of Vietnam|PD-1996|PD-Vietnam|Art of the Nguyễn dynasty|Vũ Ngọc Hoánh
